step,min,max,mode,mean,median
0,0,68,0,10.37,1.00
1,0,68,0,10.37,1.00
2,0,68,0,10.37,1.00
3,0,68,0,10.37,1.00
4,0,68,0,10.37,1.00
5,0,68,0,10.37,1.00
6,0,68,0,10.37,1.00
7,0,68,0,10.37,1.00
8,0,68,0,10.37,1.00
9,0,68,0,10.37,1.00
10,0,68,0,10.37,1.00
11,0,68,0,10.37,1.00
12,0,68,0,10.37,1.00
13,0,68,0,10.37,1.00
14,0,68,0,10.36,1.00
15,0,68,0,10.36,1.00
16,0,68,0,10.36,1.00
17,0,68,0,10.36,1.00
18,0,46,0,8.44,1.00
19,0,46,0,8.44,1.00
20,0,46,0,8.44,1.00
21,0,46,0,8.44,1.00
22,0,46,0,8.44,1.00
23,0,46,0,8.44,1.00
24,0,46,0,8.44,1.00
25,0,51,0,9.22,1.00
26,0,51,0,9.22,1.00
27,0,51,0,9.22,1.00
28,0,51,0,9.22,1.00
29,0,46,0,9.18,2.00
30,0,46,0,9.18,2.00
31,0,46,0,9.18,2.00
32,0,46,0,9.18,2.00
33,0,46,0,9.18,2.00
34,0,46,0,9.18,2.00
35,0,46,0,9.18,2.00
36,0,46,0,9.22,2.00
37,0,46,0,9.22,2.00
38,0,46,0,9.22,2.00
39,0,46,0,9.22,2.00
40,0,36,0,9.18,2.00
41,0,36,0,9.18,2.00
42,0,36,0,9.18,2.00
43,0,36,0,9.18,2.00
44,0,38,0,9.14,2.00
45,0,38,0,9.14,2.00
46,0,38,0,9.14,2.00
47,0,38,0,9.14,2.00
48,0,38,0,9.14,2.00
49,0,38,0,9.14,2.00
50,0,38,0,9.14,2.00
51,0,38,0,9.14,2.00
52,0,38,0,9.14,2.00
53,0,38,0,9.14,2.00
54,0,38,0,9.14,2.00
55,0,45,0,10.02,2.00
56,0,45,0,10.02,2.00
57,0,45,0,10.02,2.00
58,0,45,0,10.02,2.00
59,0,45,0,10.02,2.00
60,0,45,0,10.02,2.00
61,0,45,0,10.02,2.00
62,0,45,0,10.02,2.00
63,0,45,0,10.02,2.00
64,0,45,0,10.02,2.00
65,0,45,0,10.02,2.00
66,0,45,0,10.02,2.00
67,0,45,0,9.92,3.00
68,0,45,0,9.92,3.00
69,0,45,0,9.92,3.00
70,0,45,0,9.93,3.00
71,0,45,0,9.42,3.00
72,0,45,0,9.42,3.00
73,0,45,0,9.42,3.00
74,0,45,0,9.42,3.00
75,0,45,0,9.42,3.00
76,0,43,0,9.32,3.00
77,0,43,0,9.32,3.00
78,0,43,0,9.32,3.00
79,0,43,0,9.31,3.00
80,0,43,0,9.31,3.00
81,0,43,0,9.31,3.00
82,0,43,0,9.31,3.00
83,0,64,0,11.25,3.00
84,0,64,0,11.25,3.00
85,0,64,0,11.25,3.00
86,0,64,0,11.16,3.50
87,0,64,0,11.16,3.50
88,0,64,0,11.16,3.50
89,0,64,0,11.16,3.50
90,0,64,0,11.16,3.50
91,0,64,0,11.16,3.50
92,0,64,0,11.16,3.50
93,0,64,0,11.15,4.50
94,0,64,0,11.15,4.50
95,0,64,0,11.15,4.50
96,0,64,0,11.15,4.50
97,0,64,0,11.15,4.50
98,0,64,0,11.15,4.50
99,0,64,0,11.15,4.50
